id,trans
filename,scene_evt210316_cp0_q2_s30
translator,ゼタラガ推し
info,scene_evt210316_cp0_q2_s30
159,于是艾扎克，\n被尤斯提斯和卡西乌斯一左一右抱着\n运向格兰赛法。
158,明白。
157,……卡西乌斯。
156,啊……啊啊，不好意思呢……\n因为都没有洗过澡……
155,好味儿！！！
154,没事吧？     眼睛君。\n扶住我的肩膀——
153,……不行了。站不起来。\n身体好重……
152,奴……哼……呜！
151,啊啊。
150,是那个工程师的功劳。
149,<span class='scene-font-4'>噗哈！</span>\n总……总算脱下来了……呼……
145,疼疼疼……
144,啊啊。不用客气。\n有一半是——
143,卡西乌斯，向你道谢。
142,是吗。
141,旅行已经结束了。
140,怎么了。
139,不。
138,旅行者，向你道谢。
137,……啊啊。是啊。
136,不知道。\n但是，对这个天空来说他是不必要的。\n并且也不再存在了。
135,难道说……\n都那个样子了\n还活着吗，那个。
134,这把手术刀里所寄宿的噪音\n流入迪亚斯珀拉里面，\n让他误认为任务已完成然后自我崩坏了。
133,吓……吓了我一跳……\n你做了什么？
132,结束了。
128,……呼姆。
111,然后再次扔了出去。
109,哼……！
108,顺着玛琪拉扔下来的东西所指向的地点，\n卡西乌斯跳起然后抓住——
107,然后，从格兰赛法的甲板上，\n有什么发出亮光的东西落了下来。
106,啊啊。
105,要扔了哦，卡西乌斯君。
104,卡西乌斯抬起头，他的视线前方是，\n格兰散发的身影。
103,在那之前还有要做的事情。
102,什……什么啊！\n不是感动的再会啊！
100,啊啊。
99,欢迎回来！
98,……喂喂！\n你总算回来了呀，卡西乌斯！
97,卡西乌斯所前往的方向，\n是赶往落雷发生的地点的\n露莉亚和碧，以及露莉亚的身影。
96,啊—……是这么一回事？
93,"……火急火燎的是怎么了？ 那家伙。 "
92,<span class='scene-font-4'>哈啊！？</span>\n等等……你，你这个反应是什么意思！？
90,啊啊。
89,太好了，平安无事的回来了——
88,啊……？   啊……！\n这不是卡西乌斯吗！
87,卡西乌斯走向的，\n是想要得知战斗结果而靠过来的\n贝阿朵莉克丝他们的身影。
82,不，还没。
81,回来了吗。
80,好疼！
77,呼姆。
70,卡西乌斯回过身，\n向着强风的主人回以微笑后，两人再次\n向着岛屿被吹飞了。
66,呜哇啊啊啊啊啊啊……
65,下一个瞬间，从他们的正下方吹起了\n强烈的风。
64,我说了吧。\n不用担心。
63,这……这也太远了吧！？
62,然后他抓住了艾扎克的手腕，\n从飞船上跳了下去。
61,跳向那个岛。
60,……你等等。\n你要干嘛？
59,艾扎克。
57,然后，看到了离着不远的小岛，\n发出了微弱的蓝色光芒，\n他的脸上浮现了笑容。
56,卡西乌斯把融化的门扉踢破，\n看向广阔的天空。
53,哼……！
52,不必担心。
51,你说什么“好了”呢兄弟！？\n高度，高度！
50,……好了。
49,好的好的，请适度。
48,刚才检测到了克隆被打开了。\n我们过不了多久就会到达。里面的东西，\n拜托你送到姬塔他们那里。
47,啊啊，是卡西乌斯君吗。
46,玛琪拉。
45,啊啊。
44,诶……？ 啊啊。\n……不是，现在已经到了极限高度了啊？
43,呼姆。\n艾扎克。通信机拿来。
42,好烫！  肯定是！因为刚才的雷！\n门被烤融化了！
41,……门打不开。
37,与无人机纷纷一同，向着天空的另一方坠落的飞船。
35,然后，在稍微远离一点的地方，\n和冒着黑烟坠落的无人机一同的是——
34,尤斯提斯呼唤来的巨雷的威力\n极为凄烈，因它的冲击，\n周围的云都被吹飞了。
33,沸腾，并且噗噗的冒泡的\n巨大的机神，与地面半半相溶。\n化为了黑色的块状物。
18,……别开玩笑了！
15,什么净化。
10,你要去哪里。
0-synopsis,通过与尤斯提斯的怒火一同解放的弗拉梅克，以及卡西乌斯的克隆保管的格蕾丝的手术刀，迪亚斯珀拉完全被破坏了。就这样击退了月球的侵略，姬塔他们迎接回到空之世界的卡西乌斯和艾扎克了。
0-chapter_name,ending